passenger_name,survived,age_years,passenger_class,sex,survived_logical,missing_age
Passenger 0001,no,26.5,2nd,female,FALSE,FALSE
Passenger 0002,no,,3rd,male,FALSE,TRUE
Passenger 0003,no,65,2nd,female,FALSE,FALSE
Passenger 0004,no,,1st,female,FALSE,TRUE
Passenger 0005,yes,,1st,female,TRUE,TRUE
Passenger 0006,yes,32.9,3rd,male,TRUE,FALSE
Passenger 0007,no,47.5,3rd,female,FALSE,FALSE
Passenger 0008,yes,130.2,1st,male,TRUE,FALSE
Passenger 0009,no,18.5,2nd,female,FALSE,FALSE
Passenger 0010,no,,3rd,male,FALSE,TRUE
Passenger 0011,no,19.4,1st,male,FALSE,FALSE
Passenger 0012,yes,9.4,3rd,male,TRUE,FALSE
Passenger 0013,yes,,1st,male,TRUE,TRUE
Passenger 0014,no,14.8,3rd,male,FALSE,FALSE
Passenger 0015,yes,49.3,3rd,female,TRUE,FALSE
Passenger 0016,yes,20.5,2nd,female,TRUE,FALSE
Passenger 0017,no,,1st,male,FALSE,TRUE
Passenger 0018,no,24.6,3rd,male,FALSE,FALSE
Passenger 0019,no,22,3rd,male,FALSE,FALSE
Passenger 0020,no,12.7,2nd,male,FALSE,FALSE
Passenger 0021,no,13.6,3rd,male,FALSE,FALSE
Passenger 0022,no,28.4,1st,male,FALSE,FALSE
Passenger 0023,yes,,3rd,female,TRUE,TRUE
Passenger 0024,no,67.7,2nd,female,FALSE,FALSE
Passenger 0025,no,45.2,2nd,male,FALSE,FALSE
Passenger 0026,yes,32.1,3rd,male,TRUE,FALSE
Passenger 0027,yes,22.5,3rd,male,TRUE,FALSE
Passenger 0028,no,,3rd,female,FALSE,TRUE
Passenger 0029,no,,2nd,male,FALSE,TRUE
Passenger 0030,no,,3rd,female,FALSE,TRUE
Passenger 0031,yes,,1st,female,TRUE,TRUE
Passenger 0032,yes,24.7,1st,female,TRUE,FALSE
Passenger 0033,yes,,1st,female,TRUE,TRUE
Passenger 0034,no,,3rd,male,FALSE,TRUE
Passenger 0035,no,35.3,2nd,male,FALSE,FALSE
Passenger 0036,yes,,2nd,female,TRUE,TRUE
Passenger 0037,yes,,1st,female,TRUE,TRUE
Passenger 0038,yes,,3rd,female,TRUE,TRUE
Passenger 0039,no,,3rd,male,FALSE,TRUE
Passenger 0040,no,77.4,1st,male,FALSE,FALSE
Passenger 0041,no,,2nd,male,FALSE,TRUE
Passenger 0042,no,,1st,male,FALSE,TRUE
Passenger 0043,no,,2nd,female,FALSE,TRUE
Passenger 0044,no,,3rd,male,FALSE,TRUE
Passenger 0045,no,11.4,3rd,male,FALSE,FALSE
Passenger 0046,no,37.2,3rd,male,FALSE,FALSE
Passenger 0047,no,26,3rd,male,FALSE,FALSE
Passenger 0048,no,,3rd,female,FALSE,TRUE
Passenger 0049,yes,,1st,female,TRUE,TRUE
Passenger 0050,no,35.8,1st,male,FALSE,FALSE
Passenger 0051,no,28.2,3rd,male,FALSE,FALSE
Passenger 0052,yes,,1st,male,TRUE,TRUE
Passenger 0053,no,36.8,3rd,male,FALSE,FALSE
Passenger 0054,yes,100.5,2nd,female,TRUE,FALSE
Passenger 0055,no,30.6,3rd,male,FALSE,FALSE
Passenger 0056,yes,,3rd,female,TRUE,TRUE
Passenger 0057,no,,2nd,female,FALSE,TRUE
Passenger 0058,yes,,1st,male,TRUE,TRUE
Passenger 0059,yes,,1st,male,TRUE,TRUE
Passenger 0060,no,,1st,male,FALSE,TRUE
Passenger 0061,no,24.9,2nd,male,FALSE,FALSE
Passenger 0062,no,18,3rd,male,FALSE,FALSE
Passenger 0063,no,54.7,3rd,male,FALSE,FALSE
Passenger 0064,yes,,1st,female,TRUE,TRUE
Passenger 0065,no,56,3rd,male,FALSE,FALSE
Passenger 0066,yes,21.4,2nd,female,TRUE,FALSE
Passenger 0067,yes,,3rd,female,TRUE,TRUE
Passenger 0068,no,32.4,1st,male,FALSE,FALSE
Passenger 0069,no,29,3rd,male,FALSE,FALSE
Passenger 0070,no,,2nd,female,FALSE,TRUE
Passenger 0071,no,13.8,3rd,male,FALSE,FALSE
Passenger 0072,no,18.2,1st,female,FALSE,FALSE
Passenger 0073,no,25.9,3rd,female,FALSE,FALSE
Passenger 0074,yes,,3rd,female,TRUE,TRUE
Passenger 0075,no,,3rd,male,FALSE,TRUE
